starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 17:25:41 2020	1603952741	26	310	336	310
Thu Oct 29 17:24:54 2020	1603952694	23	313	336	313
Thu Oct 29 17:25:40 2020	1603952740	21	316	336	316
Thu Oct 29 17:25:08 2020	1603952708	22	314	336	314
Thu Oct 29 17:25:27 2020	1603952727	21	315	336	314
Thu Oct 29 17:25:09 2020	1603952709	23	313	337	313
Thu Oct 29 17:25:03 2020	1603952703	24	313	337	313
Thu Oct 29 17:25:30 2020	1603952730	27	309	337	309
Thu Oct 29 17:25:02 2020	1603952702	26	311	337	311
Thu Oct 29 17:25:46 2020	1603952746	25	311	337	311
Thu Oct 29 17:25:01 2020	1603952701	26	310	337	310
Thu Oct 29 17:25:34 2020	1603952734	26	311	337	311
Thu Oct 29 17:25:37 2020	1603952737	21	316	337	315
Thu Oct 29 17:25:11 2020	1603952711	26	311	337	311
Thu Oct 29 17:25:34 2020	1603952734	22	315	337	315
Thu Oct 29 17:25:46 2020	1603952746	21	316	337	316
Thu Oct 29 17:25:50 2020	1603952750	25	312	337	312
Thu Oct 29 17:26:09 2020	1603952769	24	313	337	313
Thu Oct 29 17:24:38 2020	1603952678	25	312	337	312
Thu Oct 29 17:24:47 2020	1603952687	27	310	337	310
Thu Oct 29 17:25:39 2020	1603952739	26	311	337	311
Thu Oct 29 17:25:32 2020	1603952732	24	313	337	313
Thu Oct 29 17:24:51 2020	1603952691	23	314	337	314
Thu Oct 29 17:25:08 2020	1603952708	25	312	337	311
Thu Oct 29 17:24:51 2020	1603952691	24	313	337	313
Thu Oct 29 17:25:08 2020	1603952708	22	316	337	316
Thu Oct 29 17:24:46 2020	1603952686	20	318	337	317
Thu Oct 29 17:25:57 2020	1603952757	21	317	337	316
Thu Oct 29 17:24:54 2020	1603952694	25	313	338	312
Thu Oct 29 17:25:02 2020	1603952702	22	316	338	316
Thu Oct 29 17:25:24 2020	1603952724	21	316	338	316
Thu Oct 29 17:25:36 2020	1603952736	24	313	338	313
Thu Oct 29 17:24:40 2020	1603952680	25	313	338	313
Thu Oct 29 17:24:46 2020	1603952686	26	312	338	312
Thu Oct 29 17:25:14 2020	1603952714	27	311	338	310
Thu Oct 29 17:25:36 2020	1603952736	20	318	338	318
Thu Oct 29 17:25:22 2020	1603952722	24	314	338	313
Thu Oct 29 17:25:11 2020	1603952711	25	313	338	313
Thu Oct 29 17:25:34 2020	1603952734	23	315	338	315
Thu Oct 29 17:25:24 2020	1603952724	27	310	338	310
Thu Oct 29 17:25:33 2020	1603952733	20	318	338	318
Thu Oct 29 17:24:38 2020	1603952678	24	314	338	314
Thu Oct 29 17:25:40 2020	1603952740	26	312	338	312
Thu Oct 29 17:25:08 2020	1603952708	24	314	338	314
Thu Oct 29 17:24:49 2020	1603952689	25	313	338	313
Thu Oct 29 17:25:22 2020	1603952722	25	314	338	313
Thu Oct 29 17:25:24 2020	1603952724	24	314	338	314
Thu Oct 29 17:25:16 2020	1603952716	22	316	338	316
Thu Oct 29 17:25:05 2020	1603952705	22	316	338	316
Thu Oct 29 17:24:43 2020	1603952683	24	314	338	314
Thu Oct 29 17:24:46 2020	1603952686	24	314	338	314
