starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 13:42:35 2020	1603939355	23	314	337	314
Thu Oct 29 13:42:22 2020	1603939342	22	315	337	315
Thu Oct 29 13:43:07 2020	1603939387	24	313	337	313
Thu Oct 29 13:43:07 2020	1603939387	32	305	337	305
Thu Oct 29 13:43:15 2020	1603939395	24	313	337	313
Thu Oct 29 13:42:51 2020	1603939371	22	315	337	315
Thu Oct 29 13:42:21 2020	1603939341	22	315	337	315
Thu Oct 29 13:43:03 2020	1603939383	31	307	337	306
Thu Oct 29 13:42:20 2020	1603939340	21	316	337	316
Thu Oct 29 13:42:43 2020	1603939363	21	316	337	316
Thu Oct 29 13:43:09 2020	1603939389	20	317	337	317
Thu Oct 29 13:43:14 2020	1603939394	22	315	337	315
Thu Oct 29 13:43:06 2020	1603939386	23	315	337	315
Thu Oct 29 13:42:42 2020	1603939362	22	316	337	316
Thu Oct 29 13:42:36 2020	1603939356	21	317	338	316
Thu Oct 29 13:42:46 2020	1603939366	22	316	338	316
Thu Oct 29 13:42:28 2020	1603939348	23	315	338	315
Thu Oct 29 13:43:04 2020	1603939384	23	315	338	315
Thu Oct 29 13:43:15 2020	1603939395	24	314	338	314
Thu Oct 29 13:42:33 2020	1603939353	21	317	338	317
Thu Oct 29 13:43:17 2020	1603939397	24	314	338	314
Thu Oct 29 13:42:26 2020	1603939346	20	318	338	318
Thu Oct 29 13:42:34 2020	1603939354	26	311	338	311
Thu Oct 29 13:43:17 2020	1603939397	22	316	338	316
Thu Oct 29 13:42:53 2020	1603939373	21	317	338	317
Thu Oct 29 13:42:52 2020	1603939372	21	318	338	318
Thu Oct 29 13:43:08 2020	1603939388	20	319	339	319
Thu Oct 29 13:42:27 2020	1603939347	20	319	339	319
Thu Oct 29 13:42:21 2020	1603939341	21	318	339	318
Thu Oct 29 13:42:40 2020	1603939360	21	317	339	317
Thu Oct 29 13:43:08 2020	1603939388	22	317	339	317
Thu Oct 29 13:42:43 2020	1603939363	23	316	339	316
Thu Oct 29 13:42:17 2020	1603939337	20	319	339	319
Thu Oct 29 13:42:29 2020	1603939349	20	319	339	319
Thu Oct 29 13:43:08 2020	1603939388	22	317	339	317
Thu Oct 29 13:42:17 2020	1603939337	21	318	339	318
Thu Oct 29 13:42:32 2020	1603939352	22	317	339	317
Thu Oct 29 13:42:55 2020	1603939375	25	314	339	314
Thu Oct 29 13:42:29 2020	1603939349	22	318	339	318
Thu Oct 29 13:42:54 2020	1603939374	20	319	339	319
Thu Oct 29 13:43:00 2020	1603939380	20	319	339	319
Thu Oct 29 13:43:10 2020	1603939390	30	309	340	309
Thu Oct 29 13:42:23 2020	1603939343	21	319	340	319
Thu Oct 29 13:42:44 2020	1603939364	22	318	340	317
Thu Oct 29 13:42:21 2020	1603939341	21	319	340	319
Thu Oct 29 13:42:24 2020	1603939344	26	314	340	314
Thu Oct 29 13:43:17 2020	1603939397	21	319	340	319
Thu Oct 29 13:43:00 2020	1603939380	21	318	340	318
Thu Oct 29 13:42:27 2020	1603939347	22	318	340	318
Thu Oct 29 13:42:07 2020	1603939327	22	318	340	318
Thu Oct 29 13:42:26 2020	1603939346	21	319	340	319
Thu Oct 29 13:42:42 2020	1603939362	25	315	340	315
Thu Oct 29 13:42:33 2020	1603939353	21	319	340	319
Thu Oct 29 13:42:58 2020	1603939378	23	317	340	317
Thu Oct 29 13:42:37 2020	1603939357	20	320	340	320
Thu Oct 29 13:43:04 2020	1603939384	23	317	340	317
Thu Oct 29 13:42:43 2020	1603939363	24	317	340	317
Thu Oct 29 13:42:24 2020	1603939344	24	316	340	316
Thu Oct 29 13:42:52 2020	1603939372	29	312	341	312
Thu Oct 29 13:42:34 2020	1603939354	21	320	341	320
Thu Oct 29 13:43:04 2020	1603939384	27	314	341	314
Thu Oct 29 13:42:22 2020	1603939342	24	317	341	317
Thu Oct 29 13:42:37 2020	1603939357	25	316	341	315
Thu Oct 29 13:43:19 2020	1603939399	22	319	341	319
Thu Oct 29 13:42:18 2020	1603939338	24	316	341	316
Thu Oct 29 13:42:57 2020	1603939377	21	320	341	320
Thu Oct 29 13:43:07 2020	1603939387	24	317	341	317
Thu Oct 29 13:42:27 2020	1603939347	20	320	341	320
Thu Oct 29 13:43:16 2020	1603939396	26	314	341	314
Thu Oct 29 13:42:52 2020	1603939372	24	317	341	317
Thu Oct 29 13:42:36 2020	1603939356	23	318	341	318
Thu Oct 29 13:42:30 2020	1603939350	24	317	341	317
Thu Oct 29 13:42:23 2020	1603939343	24	317	341	317
Thu Oct 29 13:42:42 2020	1603939362	24	317	341	317
Thu Oct 29 13:43:08 2020	1603939388	23	318	341	318
Thu Oct 29 13:43:09 2020	1603939389	29	312	341	312
Thu Oct 29 13:42:28 2020	1603939348	23	318	341	318
Thu Oct 29 13:43:16 2020	1603939396	23	319	341	319
Thu Oct 29 13:43:18 2020	1603939398	21	320	341	320
Thu Oct 29 13:43:14 2020	1603939394	22	319	341	319
Thu Oct 29 13:43:07 2020	1603939387	22	320	341	319
Thu Oct 29 13:42:59 2020	1603939379	20	322	341	320
Thu Oct 29 13:42:47 2020	1603939367	22	319	341	319
Thu Oct 29 13:42:17 2020	1603939337	22	320	342	319
Thu Oct 29 13:42:20 2020	1603939340	20	321	342	321
Thu Oct 29 13:42:13 2020	1603939333	24	317	342	317
Thu Oct 29 13:42:43 2020	1603939363	24	317	342	317
Thu Oct 29 13:42:26 2020	1603939346	23	319	342	319
Thu Oct 29 13:42:59 2020	1603939379	23	318	342	318
Thu Oct 29 13:42:33 2020	1603939353	22	320	342	320
Thu Oct 29 13:42:19 2020	1603939339	22	319	342	319
Thu Oct 29 13:42:14 2020	1603939334	21	321	342	321
Thu Oct 29 13:43:10 2020	1603939390	25	317	342	317
Thu Oct 29 13:42:33 2020	1603939353	22	321	342	321
Thu Oct 29 13:43:00 2020	1603939380	23	319	342	319
Thu Oct 29 13:43:01 2020	1603939381	24	319	342	319
Thu Oct 29 13:42:52 2020	1603939372	22	320	342	320
Thu Oct 29 13:42:46 2020	1603939366	22	320	342	320
Thu Oct 29 13:42:14 2020	1603939334	23	319	342	319
Thu Oct 29 13:42:50 2020	1603939370	20	322	342	322
Thu Oct 29 13:42:17 2020	1603939337	25	317	342	317
Thu Oct 29 13:42:18 2020	1603939338	21	322	343	322
Thu Oct 29 13:42:59 2020	1603939379	22	321	343	321
Thu Oct 29 13:42:21 2020	1603939341	22	321	343	321
Thu Oct 29 13:42:30 2020	1603939350	24	319	343	319
Thu Oct 29 13:43:13 2020	1603939393	21	322	343	322
Thu Oct 29 13:42:14 2020	1603939334	21	322	343	322
Thu Oct 29 13:42:37 2020	1603939357	21	322	343	321
Thu Oct 29 13:42:28 2020	1603939348	21	322	343	322
Thu Oct 29 13:42:57 2020	1603939377	20	323	343	323
Thu Oct 29 13:43:07 2020	1603939387	25	318	343	318
Thu Oct 29 13:42:43 2020	1603939363	23	320	343	320
Thu Oct 29 13:42:39 2020	1603939359	21	322	343	322
Thu Oct 29 13:42:40 2020	1603939360	20	323	343	323
Thu Oct 29 13:43:06 2020	1603939386	25	318	343	318
Thu Oct 29 13:42:25 2020	1603939345	26	318	343	317
Thu Oct 29 13:42:43 2020	1603939363	21	322	343	322
Thu Oct 29 13:42:46 2020	1603939366	21	323	343	322
Thu Oct 29 13:42:26 2020	1603939346	25	318	343	318
Thu Oct 29 13:42:30 2020	1603939350	23	320	343	320
Thu Oct 29 13:42:35 2020	1603939355	23	320	343	320
Thu Oct 29 13:42:04 2020	1603939324	24	319	343	319
Thu Oct 29 13:42:06 2020	1603939326	20	323	343	323
Thu Oct 29 13:42:55 2020	1603939375	24	320	343	320
Thu Oct 29 13:42:38 2020	1603939358	22	322	343	322
Thu Oct 29 13:42:20 2020	1603939340	23	321	344	321
Thu Oct 29 13:42:34 2020	1603939354	25	319	344	319
Thu Oct 29 13:43:04 2020	1603939384	28	316	344	316
Thu Oct 29 13:42:15 2020	1603939335	23	321	344	321
Thu Oct 29 13:43:13 2020	1603939393	22	322	344	322
Thu Oct 29 13:43:13 2020	1603939393	22	322	344	322
Thu Oct 29 13:42:18 2020	1603939338	24	320	344	320
Thu Oct 29 13:42:39 2020	1603939359	23	321	344	321
Thu Oct 29 13:42:07 2020	1603939327	23	321	344	321
Thu Oct 29 13:42:26 2020	1603939346	27	317	344	317
Thu Oct 29 13:42:15 2020	1603939335	21	323	344	323
Thu Oct 29 13:42:34 2020	1603939354	20	324	344	324
Thu Oct 29 13:42:25 2020	1603939345	26	319	344	318
Thu Oct 29 13:42:14 2020	1603939334	20	324	344	324
Thu Oct 29 13:42:34 2020	1603939354	23	321	344	321
Thu Oct 29 13:42:39 2020	1603939359	22	323	344	323
Thu Oct 29 13:42:51 2020	1603939371	26	318	344	318
Thu Oct 29 13:42:03 2020	1603939323	24	320	344	320
Thu Oct 29 13:42:47 2020	1603939367	22	323	344	322
Thu Oct 29 13:43:12 2020	1603939392	21	324	345	324
Thu Oct 29 13:42:27 2020	1603939347	24	320	345	320
Thu Oct 29 13:42:37 2020	1603939357	23	322	345	322
Thu Oct 29 13:42:24 2020	1603939344	21	324	345	324
Thu Oct 29 13:43:06 2020	1603939386	21	324	345	324
Thu Oct 29 13:42:56 2020	1603939376	21	324	345	324
Thu Oct 29 13:42:33 2020	1603939353	23	322	345	322
Thu Oct 29 13:43:11 2020	1603939391	25	320	345	320
Thu Oct 29 13:42:10 2020	1603939330	26	319	345	319
